lei,name,domain,country
213800VP91J5IQJ1WU22,FONDO PENSIONE COMPLEMENTARE A CONTRIBUZIONE DEFINITA E A CAPITALIZZAZIONE INDIVIDUALE PER I LAVORATORI IN SOMMINISTRAZIONE A TEMPO DETERMINATO E INDETERMINATO,fonasa.cl,it
213800936BJ4D9B8K280,IMI CORNELIUS DEUTSCHLAND GMBH,imiker.com,de
213800XMU1B5RQWEVU43,ALVENAAR HOLDING B.V.,alvenaar.com,nl
2138002WFIECVEYFUZ62,WESTCORE EINSTEIN B.V.,westcore.com,nl
213800XMOT2662R13951,ALPHAMOTIVE S.R.L.,alphamotive.nl,it
213800PZRO8JVKI3JH34,DIAGNOSTICA PER IMMAGINI E TERAPIA FISICA DOTTOR ALFONSO BLANDINI S.R.L.,dicardiology.com,it
21380027N7C5I81EI879,IMPERIAL TOBACCO HOLDINGS INTERNATIONAL B.V.,ipfs.com,nl
213800CJ6CPLU492YE52,ASEPTIC PROCESS EQUIPMENT,a1tank.net,fr
2138005BBWAFHF56D310,MOSCOW RIVER B.V.,mosreg.ru,nl
213800LP8DQTX2VXLA41,GETAWAY SNC DI MAROGNOLI ELIA E RUDY,getawaytoday.com,it
2138006NO7LCGFNTWO73,CHECKPOINT HOLLAND HOLDING B.V.,checkpoint.com,nl
213800C4KXWIQF3LTD42,LDT S.R.L.,ldtalentwork.com,it
213800QXMSRUJUUC9H37,BASTIANI TRAVEL S.R.L.,bastian-immobilien.de,it
213800IIV3S91EYDHZ44,TEMPOMATIC SRL,tempomatic.com,it
213800J13TNN77JSMX11,ROBOFAB B.V.,robo-fabrika.org,nl
213800M5AVFF1RQFE359,GIBCO II HOLDING B.V.,gib.com,nl
213800GBB79ZE7RO6Q23,ARDEN TRADING SRL,ardenthealth.com,it
213800AAZ5HHIQE6D953,JOINT VENTURE BOSKALIS - JAC. RIJK,jointcommission.org,nl
213800288YOG9BQW2V81,PRINT AND PACKAGING S.R.L.,printful.com,it
213800S266KB1KMU5S69,POLARIS S.R.L.,polaris.com,it
213800X9BCDVVQQF9226,NUOVI ORIZZONTI S.R.L.,nuoviconcorsi.it,it
213800FP94K4VJ1L9H35,ATEN INVESTMENTS NETHERLANDS B.V.,atencionintegral.gob.ec,nl
213800U7N975JGBEM441,LOGICPARK GARCHING IV GMBH,logicparkstad.com,de
213800VGZRR79ZYJH650,GOODMAN REAL ESTATE NETHERLANDS HOLDING B.V.,goodmanmfg.com,nl
213800DZOHREUDFDS406,SIBLU FRANCE SAS,siblu.fr,fr
213800B68CIIO7MRMX80,MICRONNEXUS GMBH,micronnexus.com,de
2138006H3N7TA224V539,PREVIDSYSTEM - FONDO PENSIONE APERTO - CRESCITA PRUDENTE,previdsystem.com,it
213800IJNFIMKJKWNG60,SERVIZI CGN S.R.L.,cgn.it,it
213800HSX3A6KYDREM07,FONDAZIONE INTERNAZIONALE BUON PASTORE ONLUS,fondazioneveronesi.it,it
213800T2SUYEKJ18JC54,REDBEECH REAL PROPERTY GMBH & CO.KG,redbeech.co.uk,de
213800A151ACBNO95E09,SETTEMARI S.P.A.,settemari.it,it
2138002CWJ5KRM5I8U07,SIRIA SRL,siriacademy.com,it
213800GBUILIUBW8CP76,ABS CREDIT PLUS,absher.sa,fr
213800UYUR46XMMD3O22,FID.RE ONE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,fidrec.com.sg,it
213800WESN67UOUCT896,CABIN INVESTMENTS II SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,cabinetparts.com,pl
213800GD8IDZNW1AQM79,NAVIONICS S.P.A.,navionics.com,it
213800IDG9G3CGCQIX80,SELCOM ELETTRONICA S.P.A.,1000sel.com,it
2138008FSIO8XNDAEN47,APOLLO - RIDA HOLDINGS RADOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI,apollo.io,pl
2138003MQ4C2YLBAPH70,DOTREMONT BELEGGINGSMAATSCHAPPIJ B.V.,dotremont.com,nl
213800S3V47X2RTGIC86,VBMS B.V.,vbm.se,nl
213800JCSUUJ3CW5NG29,LAURA PROPERTIES B.V.,laurageller.com,nl
213800J4QYFHD6IF8U17,COMO DEVELOPMENT 7 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,comodo.com,pl
213800R9JO7B1S9WZO65,BRE/HOSPITALITY EUROPE HOLDING B.V.,brehospitality.com,nl
213800ME3WT5MTXTXL92,MILVUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,milvus.com.br,pl
5493001PISK2QB2NQS09,TYCO BUILDING SERVICES PRODUCTS B.V.,ty.com,nl
213800N8O1A8DXZIES75,BEHEERMAATSCHAPPIJ INTERMEDIATE EAST-WEST B.V.,ulo.nl,nl
213800A2HY9I6GQNX541,SKYHEDGE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,skyhedge.com,pl
213800EKOH3K7H9G6L07,STAMPIDA B.V.,stampida.es,nl
213800Q64UORGRPWDB03,CAMPO VERDE TRADING BV,campograndenews.com.br,nl
213800TRHVAPO6CELL85,STUDIO TORTA SPA,studiobinder.com,it
2138003SK71EB9BFVL48,GLOBAL INFRANET B.V.,globalindustrial.com,nl
2138008Y7IS8QSZHW974,"INTERMEDIAIRE COMPAGNIE ""ICO"" B.V.",intermediaireland.com,nl
213800J2NX66QWQIUN53,TSEC SPA,tsecl.in,it
213800KGD8REJ2CJ5I23,BARZANO' & ZANARDO - MILANO - SOCIETA' PER AZIONI,barzano-zanardo.com,it
213800KQPO5I1IJ1AG12,INSIEME VIAGGI SRL,insieme.link,it
2138003HZ26VMI234810,ASI CELLINO SAN MARCO FV S.R.L.,asics.com,it
2138006F55Q8CSMOJJ41,FONTESOL S.R.L.,fontesolar.eng.br,it
2138001O7X2G889UPJ14,DELBA DRILLING INTERNATIONAL COOPERATIE U.A.,delbarton.org,nl
2138007B1Q7LPXWETN11,TECNOMECCANICA SRL,tbsrl.it,it
213800IFKJHAP2QIE498,VCERP WCC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,vc-erp.com,pl
213800QLC4HFK5AO9L98,GLO DUTCH BIDCO B.V.,glowforge.com,nl
213800XCBQ7DIMQMVM38,SMIT INTERNATIONAL OVERSEAS B.V.,smithsonianmag.com,nl
213800KL2I26XQXTLZ52,BW SOCO B.V.,bwfbadminton.com,nl
