CN_Code,Direct_Emissions,Direct_Lower_Threshold,Direct_Upper_Threshold,Indirect_Emissions,Indirect_Lower_Threshold,Indirect_Upper_Threshold
72101100,1.97,0.985,3.94,0.39,0.195,0.78
72101220,1.97,0.985,3.94,0.39,0.195,0.78
72101280,1.97,0.985,3.94,0.39,0.195,0.78
72102000,1.97,0.985,3.94,0.39,0.195,0.78
72103000,1.97,0.985,3.94,0.39,0.195,0.78
72104100,1.97,0.985,3.94,0.39,0.195,0.78
72104900,1.97,0.985,3.94,0.39,0.195,0.78
72105000,1.97,0.985,3.94,0.39,0.195,0.78
72106100,1.97,0.985,3.94,0.39,0.195,0.78
72106900,1.97,0.985,3.94,0.39,0.195,0.78
72107010,1.97,0.985,3.94,0.39,0.195,0.78
72107080,1.97,0.985,3.94,0.39,0.195,0.78
72109030,1.97,0.985,3.94,0.39,0.195,0.78
72109040,1.97,0.985,3.94,0.39,0.195,0.78
72109080,1.97,0.985,3.94,0.39,0.195,0.78
72111300,2.01,1.005,4.02,0.27,0.135,0.54
72111400,2.01,1.005,4.02,0.27,0.135,0.54
72111900,2.01,1.005,4.02,0.27,0.135,0.54
72112320,2.03,1.015,4.06,0.36,0.18,0.72
72112330,2.03,1.015,4.06,0.36,0.18,0.72
72112380,2.03,1.015,4.06,0.36,0.18,0.72
72112900,2.03,1.015,4.06,0.36,0.18,0.72
72119020,2.03,1.015,4.06,0.36,0.18,0.72
72119080,2.03,1.015,4.06,0.36,0.18,0.72
72121010,1.97,0.985,3.94,0.39,0.195,0.78
72121090,1.97,0.985,3.94,0.39,0.195,0.78
72122000,1.97,0.985,3.94,0.39,0.195,0.78
72123000,1.97,0.985,3.94,0.39,0.195,0.78
72124020,1.97,0.985,3.94,0.39,0.195,0.78
72124080,1.97,0.985,3.94,0.39,0.195,0.78
72125020,1.97,0.985,3.94,0.39,0.195,0.78
72125030,1.97,0.985,3.94,0.39,0.195,0.78
72125040,1.97,0.985,3.94,0.39,0.195,0.78
72125061,1.97,0.985,3.94,0.39,0.195,0.78
72125069,1.97,0.985,3.94,0.39,0.195,0.78
72125090,1.97,0.985,3.94,0.39,0.195,0.78
72126000,1.97,0.985,3.94,0.39,0.195,0.78
72131000,1.89,0.945,3.78,0.32,0.16,0.64
72132000,1.89,0.945,3.78,0.32,0.16,0.64
72139110,1.89,0.945,3.78,0.32,0.16,0.64
72139120,1.89,0.945,3.78,0.32,0.16,0.64
72139141,1.89,0.945,3.78,0.32,0.16,0.64
72139149,1.89,0.945,3.78,0.32,0.16,0.64
72139170,1.89,0.945,3.78,0.32,0.16,0.64
72139190,1.89,0.945,3.78,0.32,0.16,0.64
72139910,1.89,0.945,3.78,0.32,0.16,0.64
72139990,1.89,0.945,3.78,0.32,0.16,0.64
72141000,2.65,1.325,5.3,0.62,0.31,1.24
72142000,1.89,0.945,3.78,0.32,0.16,0.64
