CN_Code,Direct_Emissions,Direct_Lower_Threshold,Direct_Upper_Threshold,Indirect_Emissions,Indirect_Lower_Threshold,Indirect_Upper_Threshold
73181595,1.89,0.945,3.78,0.32,0.16,0.64
73181631,1.89,0.945,3.78,0.32,0.16,0.64
73181639,1.89,0.945,3.78,0.32,0.16,0.64
73181640,1.89,0.945,3.78,0.32,0.16,0.64
73181660,1.89,0.945,3.78,0.32,0.16,0.64
73181692,1.89,0.945,3.78,0.32,0.16,0.64
73181699,1.89,0.945,3.78,0.32,0.16,0.64
73181900,1.89,0.945,3.78,0.32,0.16,0.64
73182100,1.89,0.945,3.78,0.32,0.16,0.64
73182200,1.89,0.945,3.78,0.32,0.16,0.64
73182300,1.89,0.945,3.78,0.32,0.16,0.64
73182400,1.89,0.945,3.78,0.32,0.16,0.64
73182900,1.89,0.945,3.78,0.32,0.16,0.64
73261100,2.65,1.325,5.3,0.62,0.31,1.24
73261910,2.65,1.325,5.3,0.62,0.31,1.24
73261990,2.65,1.325,5.3,0.62,0.31,1.24
73262000,1.95,0.975,3.9,0.51,0.255,1.02
73269030,1.89,0.945,3.78,0.32,0.16,0.64
73269040,1.89,0.945,3.78,0.32,0.16,0.64
73269050,1.89,0.945,3.78,0.32,0.16,0.64
73269060,1.89,0.945,3.78,0.32,0.16,0.64
73269092,2.65,1.325,5.3,0.62,0.31,1.24
73269094,2.65,1.325,5.3,0.62,0.31,1.24
73269096,2.65,1.325,5.3,0.62,0.31,1.24
73269098,1.97,0.985,3.94,0.39,0.195,0.78
76011010,2.36,1.18,4.72,8.14,4.07,16.28
76011090,2.36,1.18,4.72,8.14,4.07,16.28
76012030,2.36,1.18,4.72,8.14,4.07,16.28
76012040,2.36,1.18,4.72,8.14,4.07,16.28
76012080,2.36,1.18,4.72,8.14,4.07,16.28
76031000,2.48,1.24,4.96,8.4,4.2,16.8
76032000,2.48,1.24,4.96,8.4,4.2,16.8
76041010,2.31,1.155,4.62,7.49,3.745,14.98
76041090,2.73,1.365,5.46,9.3,4.65,18.6
76042100,2.73,1.365,5.46,9.3,4.65,18.6
76042910,2.31,1.155,4.62,7.49,3.745,14.98
76042990,2.73,1.365,5.46,9.3,4.65,18.6
76051100,2.31,1.155,4.62,7.49,3.745,14.98
76051900,2.31,1.155,4.62,7.49,3.745,14.98
76052100,2.31,1.155,4.62,7.49,3.745,14.98
76052900,2.31,1.155,4.62,7.49,3.745,14.98
76061130,2.86,1.43,5.72,9.25,4.625,18.5
76061150,2.86,1.43,5.72,9.25,4.625,18.5
76061191,2.86,1.43,5.72,9.25,4.625,18.5
76061193,2.86,1.43,5.72,9.25,4.625,18.5
76061199,2.86,1.43,5.72,9.25,4.625,18.5
76061211,2.86,1.43,5.72,9.25,4.625,18.5
76061219,2.86,1.43,5.72,9.25,4.625,18.5
76061230,2.86,1.43,5.72,9.25,4.625,18.5
76061250,2.86,1.43,5.72,9.25,4.625,18.5
76061292,2.86,1.43,5.72,9.25,4.625,18.5
76061293,2.86,1.43,5.72,9.25,4.625,18.5
76061299,2.86,1.43,5.72,9.25,4.625,18.5
76069100,2.86,1.43,5.72,9.25,4.625,18.5
76069200,2.86,1.43,5.72,9.25,4.625,18.5
76071111,2.86,1.43,5.72,9.25,4.625,18.5
76071119,2.86,1.43,5.72,9.25,4.625,18.5
76071190,2.86,1.43,5.72,9.25,4.625,18.5
76071910,2.86,1.43,5.72,9.25,4.625,18.5
76071990,2.86,1.43,5.72,9.25,4.625,18.5
76072010,2.86,1.43,5.72,9.25,4.625,18.5
76072091,2.86,1.43,5.72,9.25,4.625,18.5
76072099,2.86,1.43,5.72,9.25,4.625,18.5
76081000,2.73,1.365,5.46,9.3,4.65,18.6
76082020,2.73,1.365,5.46,9.3,4.65,18.6
76082081,2.73,1.365,5.46,9.3,4.65,18.6
76082089,2.73,1.365,5.46,9.3,4.65,18.6
76090000,2.73,1.365,5.46,9.3,4.65,18.6
76101000,2.73,1.365,5.46,9.3,4.65,18.6
76109010,2.73,1.365,5.46,9.3,4.65,18.6
76109090,2.73,1.365,5.46,9.3,4.65,18.6
76110000,2.86,1.43,5.72,9.25,4.625,18.5
76121000,2.86,1.43,5.72,9.25,4.625,18.5
76129020,2.86,1.43,5.72,9.25,4.625,18.5
76129030,2.86,1.43,5.72,9.25,4.625,18.5
76129080,2.86,1.43,5.72,9.25,4.625,18.5
76130000,2.86,1.43,5.72,9.25,4.625,18.5
76141000,2.31,1.155,4.62,7.49,3.745,14.98
76149000,2.31,1.155,4.62,7.49,3.745,14.98
76161000,2.86,1.43,5.72,9.25,4.625,18.5
76169100,2.86,1.43,5.72,9.25,4.625,18.5
76169910,2.48,1.24,4.96,8.4,4.2,16.8
76169990,2.86,1.43,5.72,9.25,4.625,18.5
